Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,accepted,255,255,255,97,203,1,9.43398,1
C001,accepted,255,255,255,138,222,1,9.43398,1
C002,accepted,255,255,255,139,211,1,9.21954,1
C003,accepted,255,255,255,203,21,1,10.7703,1
C004,accepted,255,255,255,136,166,1,9.21954,1
C005,accepted,255,255,255,110,51,1,10.6301,1
C006,accepted,255,255,255,104,164,1,9.48683,1
C007,accepted,255,255,255,102,173,1,8.94427,1
C008,rejected,255,255,255,89,186,1,12.3693,1
C009,accepted,255,255,255,154,36,1,10,1
C010,accepted,255,255,255,121,108,1,10,1
C011,accepted,255,255,255,132,178,1,10,1
C012,accepted,255,255,255,158,115,1,8.94427,1
C013,accepted,255,255,255,143,58,1,9.43398,1
C014,accepted,255,255,255,104,112,1,8.544,1
C015,accepted,255,255,255,140,127,1,8.24621,1
C016,accepted,255,255,255,89,212,1,8.94427,1
C017,accepted,255,255,255,125,107,1,8.60233,1
C018,rejected,255,255,255,113,79,1,9.43398,1
C019,accepted,255,255,255,114,90,1,10.8167,1
C020,accepted,255,255,255,145,197,1,8.94427,1
C021,accepted,255,255,255,136,129,1,9.48683,1
C022,accepted,255,255,255,121,27,1,10.7703,1
C023,accepted,255,255,255,93,44,1,10.2956,1
C024,accepted,255,255,255,122,102,1,12.0416,1
C025,accepted,255,255,255,151,111,1,8.06226,1
C026,accepted,255,255,255,124,216,1,9.84886,1
C027,rejected,255,255,255,210,60,1,19.9249,1
C028,accepted,255,255,255,189,35,1,10.4403,1
C029,accepted,255,255,255,149,123,1,8.60233,1
C030,accepted,255,255,255,97,91,1,8.94427,1
C031,accepted,255,255,255,125,196,1,9.48683,1
C032,accepted,255,255,255,175,44,1,8.544,1
C033,accepted,255,255,255,142,193,1,8.60233,1
C034,accepted,255,255,255,212,42,1,10.4403,1
C035,accepted,255,255,255,146,114,1,9.48683,1
C036,accepted,255,255,255,154,99,1,8.60233,1
C037,accepted,255,255,255,163,173,1,9.21954,1
C038,accepted,255,255,255,157,174,1,8.94427,1
C039,accepted,255,255,255,154,191,1,9.21954,1
C040,accepted,255,255,255,107,95,1,8.60233,1
C041,accepted,255,255,255,133,117,1,9.43398,1
C042,accepted,255,255,255,111,191,1,11.1803,1
C043,accepted,255,255,255,108,104,1,11.1803,1
C044,accepted,255,255,255,115,111,1,9.48683,1
C045,accepted,255,255,255,90,157,1,8.94427,1
C046,rejected,255,255,255,184,233,1,9.48683,1
C047,accepted,255,255,255,181,30,1,10.4403,1
C048,accepted,255,255,255,126,150,1,9.48683,1
C049,accepted,255,255,255,142,70,1,8.60233,1
C050,rejected,255,255,255,179,56,2,8.94427,1
C051,accepted,255,255,255,141,174,1,8.60233,1
C052,accepted,255,255,255,158,196,1,8.544,1
C053,accepted,255,255,255,138,103,1,9.21954,1
C054,accepted,255,255,255,185,245,1,12.6491,1
C055,accepted,255,255,255,154,209,1,9.21954,1
C056,accepted,255,255,255,80,216,1,11.3137,1
C057,rejected,255,255,255,131,185,2,12.3693,1
C058,accepted,255,255,255,145,145,1,8.544,1
C059,accepted,255,255,255,160,95,1,10.4403,1
C060,accepted,255,255,255,148,217,1,9.48683,1
