Name,SNR,EventRate(Hz)
C000,27.7842,0.0574808
C001,12.0632,0.0616461
C002,14.5326,0.0933022
C003,12.5004,0.0216594
C004,14.0067,0.0424858
C005,13.0039,0.0508164
C006,11.7545,0.0508164
C007,16.2267,0.0874708
C008,14.629,0.0691436
C009,15.6915,0.0391536
C010,16.8231,0.0733089
C011,15.4763,0.05998
C012,16.0621,0.1008
C013,20.0985,0.0416528
C014,17.3024,0.0408197
C015,19.7441,0.0624792
C016,17.5318,0.0783072
C017,16.1012,0.0708097
C018,12.3814,0.0724758
C019,12.046,0.0691436
C020,19.5826,0.0808064
C021,11.9831,0.0549817
C022,17.7421,0.0433189
C023,13.1366,0.0533156
C024,12.3938,0.0666445
C025,13.7675,0.0533156
C026,17.3546,0.0291569
C027,12.6191,0.0791403
C028,14.6111,0.0474842
C029,11.7109,0.0649783
C030,12.8264,0.0941353
C031,14.5469,0.0674775
C032,14.8898,0.0699767
C033,13.6427,0.0816395
C034,12.5845,0.0699767
C035,14.1606,0.0791403
C036,12.6918,0.0658114
C037,13.264,0.0824725
C038,13.4232,0.0816395
C039,13.3136,0.044152
C040,12.2151,0.0858047
C041,11.2928,0.0566478
C042,11.7406,0.0791403
C043,12.0308,0.0666445
C044,11.5857,0.044985
C045,13.167,0.0399867
C046,12.5256,0.0791403
C047,19.4567,0.0683106
C048,12.5278,0.0533156
C049,12.7288,0.0724758
C050,12.5057,0.0558147
C051,13.5992,0.0499833
C052,11.8051,0.0474842
C053,11.2593,0.0424858
C054,12.6816,0.0683106
C055,14.2193,0.0741419
C056,11.7869,0.0666445
C057,11.676,0.0458181
C058,12.8877,0.0674775
C059,13.1095,0.0866378
C060,12.2649,0.0724758
C061,18.2328,0.0641453
C062,12.5759,0.0624792
C063,16.0053,0.0524825
C064,13.0121,0.0524825
C065,13.9485,0.0524825
C066,12.617,0.0633122
C067,11.5218,0.0416528
C068,11.8992,0.0549817
C069,10.9717,0.0724758
C070,11.9401,0.0608131
C071,13.4704,0.0483172
C072,12.1513,0.0583139
C073,13.0186,0.0549817
C074,12.3365,0.0508164
C075,11.8934,0.0499833
C076,12.4781,0.0641453
C077,14.2312,0.0649783
C078,11.2035,0.0583139
C079,12.4634,0.05998
C080,10.7337,0.0474842
C081,12.274,0.0516495
C082,11.226,0.0433189
C083,11.4375,0.02999
C084,11.9853,0.0483172
C085,13.6267,0.0616461
C086,10.3133,0.0458181
C087,13.6431,0.0241586
C088,13.082,0.0374875
C089,11.6851,0.0508164
C090,11.2556,0.0566478
C091,12.4018,0.0658114
C092,11.9962,0.0508164
C093,12.0717,0.0324892
C094,11.8709,0.0391536
C095,12.7021,0.0683106
C096,11.1202,0.0349883
C097,12.0901,0.0633122
C098,12.7456,0.0574808
C099,11.6826,0.0374875
C100,11.8796,0.0191603
C101,11.5381,0.0483172
C102,13.872,0.0516495
C103,11.517,0.0424858
C104,11.9986,0.0158281
C105,12.0075,0.0108297
C106,11.5794,0.0566478
C107,11.6948,0.0458181
C108,12.2531,0.0558147
C109,10.341,0.0366544
C110,11.6885,0.044985
C111,10.8807,0.0283239
C112,10.5418,0.0241586
C113,10.1475,0.0233256
C114,10.469,0.0391536
C115,10.8898,0.0166611
C116,11.1855,0.0183272
C117,12.3555,0.0641453
C118,11.2797,0.0366544
C119,11.6269,0.0308231
C120,11.3687,0.0166611
C121,10.4469,0.0333222
C122,11.3588,0.02999
C123,10.1839,0.0308231
C124,12.271,0.0408197
C125,10.2685,0.0366544
C126,11.8392,0.0224925
C127,10.9567,0.0191603
C128,9.02966,0.0249917
C129,10.8064,0.0249917
C130,9.54359,0.0158281
C131,10.2604,0.0241586
C132,10.1954,0.00499833
C133,10.6393,0.0074975
C134,10.6509,0.00499833
C135,8.48964,0.000833056
C136,7.70584,0.00166611
C137,0,0
C138,14.1983,0.0141619
