Time (s), Cell Name, Value
0.75, C000, 711.3334
22.8, C000, 215.6316
24.2, C000, 314.9084
43.2, C000, 568.2612
50.95, C000, 422.4375
89.40000000000001, C000, 124.5849
91.7, C000, 107.9644
161.5, C000, 474.2299
165.8, C000, 420.8108
195.75, C000, 111.2999
211.6, C000, 177.8947
228.55, C000, 701.4092
230.45, C000, 994.6492
239.5, C000, 114.5465
283.45, C000, 109.1183
283.85, C000, 220.0796
288.8, C000, 471.3514
291.45, C000, 634.0873
295, C000, 481.9002
310.7, C000, 167.9343
321.7, C000, 755.9399
361.05, C000, 440.1173
367.6, C000, 162.36
372.35, C000, 152.7539
382.95, C000, 645.5759
391.1, C000, 423.0271
391.75, C000, 331.4473
409.35, C000, 667.9623
444.9, C000, 159.6958
486.5, C000, 124.4381
501.65, C000, 115.6717
518.5, C000, 542.3668
520.75, C000, 136.2367
541.9, C000, 105.8441
584.75, C000, 236.8902
589.9, C000, 202.6619
596.55, C000, 482.5124
608.3, C000, 426.7165
624.65, C000, 287.2036
627.65, C000, 490.5833
628.6, C000, 587.168
651.9, C000, 420.9221
658.75, C000, 474.3184
671.4, C000, 289.5256
674.95, C000, 178.0631
733.65, C000, 129.2419
768.9, C000, 112.0431
771.05, C000, 570.3229
790.8, C000, 355.5588
798.55, C000, 535.6882
810.7, C000, 109.7542
832.45, C000, 132.7282
859, C000, 147.0117
870.75, C000, 458.195
896.45, C000, 101.8409
945.45, C000, 116.1654
947.65, C000, 146.0751
955.15, C000, 293.5992
965.6, C000, 500.6475
966.3, C000, 672.4144
995.8, C000, 436.1795
1013.05, C000, 610.3363
1046.099999, C000, 228.2664
1068.5, C000, 248.075
1069.3, C000, 115.7063
1109.3, C000, 379.9453
1112.1, C000, 581.7496
1193.75, C000, 125.0068
1193.95, C000, 773.5272
0.6, C001, 580.4899
5.4, C001, 320.0721
13.7, C001, 302.5461
14.9, C001, 312.1552
15.75, C001, 1180.038
18.65, C001, 537.9498
24.15, C001, 693.6196
29.6, C001, 373.3962
42.9, C001, 1986.582
47.45, C001, 321.5251
49.75, C001, 379.154
56, C001, 283.3435
63.1, C001, 1528.386
65.599999, C001, 797.961
79.45, C001, 489.1181
83.90000000000001, C001, 405.2522
89.5, C001, 519.0068
91.7, C001, 555.9461
104.8, C001, 756.8364
106.55, C001, 619.5166
108.55, C001, 371.7164
117.55, C001, 343.8256
119.45, C001, 354.7774
132.25, C001, 685.7533
159.15, C001, 329.5547
161.6, C001, 293.7561
186.7, C001, 281.4467
195.8, C001, 445.3523
202.1, C001, 1596.558
206.35, C001, 419.4605
213.25, C001, 310.2142
226.7, C001, 435.3451
254.65, C001, 736.7375
265.25, C001, 519.3916
276.5, C001, 889.6794
287.4, C001, 989.0049
306.95, C001, 697.1869
394.95, C001, 521.7112
403.35, C001, 293.5764
406.1, C001, 336.252
408.7, C001, 299.3561
409.55, C001, 319.2915
425.85, C001, 300.5953
428.05, C001, 392.1909
435.2, C001, 294.4134
440.8, C001, 308.7093
447.3, C001, 471.6838
460.65, C001, 356.5985
466.75, C001, 395.4271
478.6, C001, 451.3405
498.15, C001, 536.7394
501.45, C001, 299.7764
574.85, C001, 421.901
616.55, C001, 282.9352
617.75, C001, 283.0761
629.9, C001, 334.819
648.4, C001, 478.2215
653.95, C001, 406.1169
666.6, C001, 1460.934
676.7, C001, 288.8149
768.9, C001, 792.8429
776.5, C001, 511.5168
798.3, C001, 693.1767
901.1, C001, 524.1726
930.5, C001, 294.4699
937.75, C001, 339.5717
1024.15, C001, 287.1528
1043.05, C001, 376.5081
1068.45, C001, 453.0983
1071.8, C001, 284.5893
1072.5, C001, 319.6898
1097.2, C001, 318.3936
1098.1, C001, 419.8476
1114.45, C001, 421.0491
0.6, C002, 410.3684
1.1, C002, 420.5891
5.35, C002, 424.1564
8.300000000000001, C002, 273.9457
13.5, C002, 638.5463
14.75, C002, 382.6407
15.8, C002, 866.7715
18.8, C002, 336.5859
22.45, C002, 204.451
24.3, C002, 449.4394
29.8, C002, 222.5679
35.75, C002, 220.4088
38.15, C002, 447.9478
41.85, C002, 223.3718
42.45, C002, 287.0412
43.1, C002, 1237.44
47.65, C002, 212.8922
49.65, C002, 520.849
56.6, C002, 413.8868
61, C002, 332.0468
63.1, C002, 1125.688
65.599999, C002, 1091.621
69.09999999999999, C002, 256.0843
75.75, C002, 290.5421
79.59999999999999, C002, 259.6205
84.05, C002, 323.5587
89.59999999999999, C002, 514.5325
91.7, C002, 407.662
97.40000000000001, C002, 303.4439
105.05, C002, 344.177
106.55, C002, 517.2141
108.4, C002, 351.4565
119.5, C002, 194.4417
119.8, C002, 545.5385
121.55, C002, 350.6697
129.85, C002, 219.2162
133.199999, C002, 458.993
134.55, C002, 218.9859
144.45, C002, 397.2056
159.1, C002, 539.6926
188.25, C002, 236.8795
202.1, C002, 1809.399
206.35, C002, 375.8477
213.4, C002, 226.6861
220.5, C002, 258.716
226.95, C002, 223.5257
245.1, C002, 356.3182
254.75, C002, 648.3723
257, C002, 285.9523
263.35, C002, 237.6257
265.3, C002, 479.8117
276.45, C002, 725.6534
287.5, C002, 723.2237
307, C002, 411.3552
311.35, C002, 214.476
329.65, C002, 493.5582
333.8, C002, 235.8659
345, C002, 243.1196
357.75, C002, 258.0861
362.75, C002, 333.7021
380.85, C002, 268.6105
390.4, C002, 621.7278
394.95, C002, 388.6724
407.65, C002, 204.0403
409.55, C002, 330.4246
