Name,SNR,EventRate(Hz)
C000,6.89281,0.0724758
C001,7.19959,0.0433189
C002,6.56622,0.0616461
C003,10.0617,0.138287
C004,7.16752,0.0491503
C005,7.13389,0.101633
C006,5.32428,0.0566478
C007,7.32319,0.0766411
C008,8.55869,0.0741419
C009,7.12552,0.0491503
C010,8.39482,0.0774742
C011,8.28159,0.0774742
C012,5.82495,0.102466
C013,5.97098,0.0566478
C014,7.48436,0.0999667
C015,7.25197,0.074975
C016,7.14182,0.0641453
C017,6.86988,0.0991336
C018,6.80805,0.0841386
C019,10.3544,0.125791
C020,7.05313,0.110796
C021,9.80844,0.0966345
C022,6.3288,0.108297
C023,14.4821,0.0558147
C024,11.4698,0.0824725
C025,8.19033,0.117461
C026,7.30795,0.0791403
C027,8.53686,0.11996
C028,5.47229,0.0608131
C029,10.426,0.119127
C030,11.7953,0.0974675
C031,8.98234,0.0858047
C032,4.38776,0.101633
C033,6.72937,0.123292
C034,9.00634,0.0816395
C035,7.25858,0.0691436
C036,11.0158,0.0883039
C037,10.3866,0.0999667
C038,8.03314,0.0849717
C039,6.05577,0.0816395
C040,9.68014,0.0699767
C041,16.2431,0.0699767
C042,6.88542,0.0999667
C043,10.5842,0.128291
C044,8.081,0.118294
C045,10.4642,0.0866378
C046,18.399,0.0624792
C047,11.6992,0.101633
C048,8.77984,0.132456
C049,9.23427,0.0949683
C050,6.14561,0.0991336
C051,12.5676,0.0174942
C052,8.71761,0.114129
C053,12.7297,0.08997
C054,7.33267,0.0958014
C055,10.8155,0.107464
C056,4.3465,0.144119
C057,9.84761,0.0808064
C058,21.2102,0.0774742
C059,7.07444,0.0983006
C060,7.82545,0.124958
C061,12.55,0.0916361
C062,8.44395,0.0958014
C063,10.3813,0.0958014
C064,10.3386,0.103299
C065,12.6916,0.135788
C066,8.38118,0.1008
C067,8.56207,0.0991336
C068,7.4975,0.0816395
C069,7.82473,0.125791
C070,4.73586,0.0566478
C071,8.87989,0.0999667
C072,8.32525,0.0758081
C073,16.7604,0.113296
C074,8.61121,0.0791403
C075,7.92638,0.103299
C076,8.2923,0.131623
C077,9.16997,0.108297
C078,6.41559,0.0574808
C079,9.36232,0.118294
C080,10.8676,0.114962
C081,6.61483,0.0724758
C082,8.99661,0.0974675
C083,5.33061,0.0483172
C084,8.82974,0.0699767
C085,12.2484,0.103299
C086,9.23767,0.0708097
C087,9.43806,0.0924692
C088,6.98574,0.0766411
C089,9.41867,0.167444
C090,9.85634,0.124125
C091,5.62148,0.0266578
C092,6.69722,0.111629
C093,7.76705,0.108297
C094,8.19139,0.0674775
C095,7.95236,0.0474842
C096,5.08217,0.0583139
C097,4.01517,0.0766411
C098,9.68314,0.122459
C099,7.20813,0.0666445
C100,13.2958,0.0874708
C101,9.9896,0.074975
C102,11.1166,0.133289
C103,7.70562,0.0949683
C104,8.19355,0.0766411
C105,9.80159,0.141619
C106,6.85427,0.0999667
C107,5.82438,0.0858047
C108,14.0638,0.139953
C109,6.72036,0.0791403
C110,4.91842,0.123292
C111,8.51127,0.05998
C112,13.0742,0.107464
C113,5.33701,0.0741419
C114,6.22769,0.0949683
C115,20.7827,0.0924692
C116,5.66643,0.0416528
C117,8.49588,0.115795
C118,6.60817,0.0666445
C119,7.48767,0.0566478
C120,10.329,0.0608131
C121,9.12576,0.0391536
C122,4.79927,0.108297
C123,5.32917,0.0199933
C124,5.71504,0.112463
C125,6.5653,0.103299
C126,5.29826,0.0466511
C127,4.30704,0.0649783
C128,6.53152,0.0483172
C129,7.07275,0.0416528
C130,6.6077,0.0516495
C131,5.88797,0.0341553
C132,6.76276,0.0366544
C133,5.50804,0.0616461
C134,5.28151,0.0641453
C135,7.81758,0.0483172
C136,7.43604,0.0233256
C137,5.47795,0.0516495
C138,5.15935,0.0516495
C139,0,0
C140,4.05821,0.0266578
C141,3.03982,0.00833056
C142,0,0
C143,4.3308,0.0141619
C144,0,0
C145,0,0
C146,4.24128,0.0133289
C147,5.12971,0.00249917
C148,3.82185,0.0308231
C149,0,0
