Time (s), Cell Name, Value
0.15, C000, 147.2617
4.25, C000, 45.76895
4.5, C000, 318.6338
5, C000, 469.2154
9.85, C000, 908.8991
18.1, C000, 235.8425
20.35, C000, 180.4478
27.1, C000, 158.1786
31.55, C000, 54.20168
42.35, C000, 112.46
44.45, C000, 41.75885
49.5, C000, 147.8996
51.2, C000, 71.84717
58.45, C000, 64.57716
59.15, C000, 74.12619
64.7, C000, 49.97807
65.7, C000, 44.56591
83.05, C000, 111.1477
88.45, C000, 50.59124
102.85, C000, 138.1844
107.15, C000, 48.28406
116, C000, 89.63477
130.65, C000, 96.19063
139.75, C000, 72.65971
182.8, C000, 45.11838
187.45, C000, 63.02127
197.45, C000, 49.93798
306.25, C000, 80.10151
415.2, C000, 57.75861
479.75, C000, 143.8755
484.1, C000, 47.8462
484.9, C000, 108.0431
486.95, C000, 173.2994
490.85, C000, 86.38544
493.9, C000, 156.4025
500, C000, 89.44148
500.9, C000, 43.62933
501.75, C000, 45.16826
505.65, C000, 42.07327
516.35, C000, 42.27455
519.5, C000, 86.99026
520.2, C000, 112.1662
532.9, C000, 151.0597
535.6, C000, 87.83637
552.35, C000, 81.22029
566.75, C000, 44.62454
596.3, C000, 44.13071
724.45, C000, 45.58882
810.65, C000, 82.22881
812.9, C000, 143.7936
873.3, C000, 42.09787
879.1, C000, 63.97202
905.5, C000, 189.337
906.75, C000, 192.6878
913.6, C000, 46.66499
922.15, C000, 78.82663
934.3, C000, 83.01579
937, C000, 89.17341
939.25, C000, 44.06374
948.2, C000, 60.05125
951.5, C000, 53.98039
957.7, C000, 85.49535
958.75, C000, 113.3114
967.65, C000, 221.5168
971.45, C000, 182.6562
976.95, C000, 109.3692
982.15, C000, 80.21466
984.9, C000, 94.1618
1014.4, C000, 74.80583
1043.45, C000, 76.52803
1079.65, C000, 63.77962
1097.8, C000, 43.67069
1109.85, C000, 63.22334
1113.35, C000, 76.14787
1114.2, C000, 57.73726
1117.35, C000, 84.56194
1123.2, C000, 58.12428
1131.05, C000, 58.06218
1132, C000, 57.02201
1156.45, C000, 225.0371
1160.4, C000, 50.01045
1163.9, C000, 87.56056
1170.5, C000, 49.49464
1177.9, C000, 45.7475
1178.15, C000, 71.03192
1196.5, C000, 103.813
1199.45, C000, 65.1474
0.05, C001, 37.72672
0.25, C001, 50.53757
5.3, C001, 46.19746
10.45, C001, 96.43068
30.3, C001, 87.16083
49.6, C001, 72.03455
59.15, C001, 33.13866
66.05, C001, 37.29893
66.15000000000001, C001, 151.4871
86.84999999999999, C001, 28.79032
97.55, C001, 32.12178
103.75, C001, 79.50955
110.85, C001, 161.633
116.8, C001, 35.17315
117, C001, 64.78122
139.75, C001, 55.42508
149.65, C001, 37.84079
159.7, C001, 36.80895
163.3, C001, 30.49993
170.15, C001, 33.57393
178.6, C001, 27.1243
195.1, C001, 33.96208
317.9, C001, 31.15827
501.05, C001, 53.32819
516.799999, C001, 481.6917
519.6, C001, 27.58496
529.799999, C001, 28.21656
535.2, C001, 27.60756
740.6, C001, 27.1666
742.7, C001, 30.09824
808.75, C001, 93.45523
906.8, C001, 58.44668
908, C001, 31.83942
936.95, C001, 86.41165
943.05, C001, 35.86636
962.45, C001, 35.71119
991.9, C001, 48.8353
1014.15, C001, 30.62344
1019.75, C001, 30.66153
1020.8, C001, 108.2122
1073.65, C001, 61.94965
1074, C001, 187.9165
1078.3, C001, 52.79425
1097.65, C001, 68.42236
1108.7, C001, 30.53377
1109.3, C001, 31.05704
1130.7, C001, 32.7161
1131.1, C001, 141.5011
1132.4, C001, 53.92529
1152.4, C001, 588.7349
1170.45, C001, 48.67128
1196.35, C001, 275.7928
3.4, C002, 26.87916
4.15, C002, 28.70955
4.8, C002, 60.87503
5.25, C002, 32.92631
5.35, C002, 59.21403
7.65, C002, 60.15086
8.15, C002, 69.23033
10.25, C002, 136.0976
16.399999, C002, 526.5073
20.9, C002, 37.36371
27.3, C002, 120.139
28.7, C002, 27.91162
48.85, C002, 28.37033
49.45, C002, 41.03681
54.6, C002, 31.26879
56.45, C002, 32.16471
58.75, C002, 126.5813
77.95, C002, 27.30063
103.95, C002, 121.9318
104.55, C002, 28.53404
104.65, C002, 250.6795
116, C002, 37.78068
116.5, C002, 61.96076
121.45, C002, 284.7198
124, C002, 30.13936
135.3, C002, 26.80992
159.05, C002, 46.72247
165.9, C002, 35.6059
167.5, C002, 59.83688
