Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,accepted,255,255,255,17,134,2,7.2111,1
C001,accepted,255,255,255,38,203,1,7.61577,1
C002,accepted,255,255,255,77,166,1,7.61577,1
C003,accepted,255,255,255,105,173,1,6.32456,1
C004,accepted,255,255,255,63,26,1,8.544,1
C005,accepted,255,255,255,52,50,1,8.06226,1
C006,accepted,255,255,255,53,174,1,6.7082,1
C007,accepted,255,255,255,86,56,1,7.61577,1
C008,accepted,255,255,255,144,57,1,8.24621,1
C009,accepted,255,255,255,145,20,1,8.24621,1
C010,accepted,255,255,255,74,117,1,7.61577,1
C011,accepted,255,255,255,84,193,1,7.07107,1
C012,accepted,255,255,255,88,145,1,6.32456,1
C013,accepted,255,255,255,96,35,1,7.2111,1
C014,accepted,255,255,255,45,164,1,7.2111,1
C015,accepted,255,255,255,105,16,1,6.7082,1
C016,accepted,255,255,255,74,152,1,6.7082,1
C017,accepted,255,255,255,31,185,1,8.544,1
C018,accepted,255,255,255,82,127,1,6.7082,1
C019,accepted,255,255,255,100,115,1,6.7082,1
C020,accepted,255,255,255,35,43,1,8.06226,1
C021,accepted,255,255,255,92,190,1,7.28011,1
C022,accepted,255,255,255,100,197,1,6.7082,1
C023,accepted,255,255,255,88,114,1,6.7082,1
C024,accepted,255,255,255,63,107,1,7.81025,1
C025,accepted,255,255,255,99,174,1,7.28011,1
C026,accepted,255,255,255,82,200,1,8.60233,1
C027,accepted,255,255,255,44,174,1,7.2111,1
C028,accepted,255,255,255,66,240,1,7.2111,1
C029,accepted,255,255,255,123,38,1,7.28011,1
C030,accepted,255,255,255,153,57,1,15.8114,1
C031,accepted,255,255,255,31,212,1,7.2111,1
C032,accepted,255,255,255,97,191,1,7.61577,1
C033,accepted,255,255,255,78,72,1,7.2111,1
C034,accepted,255,255,255,78,52,1,7.2111,1
C035,accepted,255,255,255,80,207,1,6.7082,1
C036,accepted,255,255,255,87,197,1,6.32456,1
C037,accepted,255,255,255,132,35,1,8.24621,1
C038,accepted,255,255,255,97,100,1,6.7082,1
C039,accepted,255,255,255,72,65,1,8.06226,1
C040,accepted,255,255,255,132,25,1,8.06226,1
