Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,accepted,255,255,255,240,129,1,11.1803,1
C001,accepted,255,255,255,120,100,1,10,1
C002,accepted,255,255,255,187,77,1,9.43398,1
C003,accepted,255,255,255,224,109,1,9.21954,1
C004,accepted,255,255,255,89,47,1,8.94427,1
C005,accepted,255,255,255,229,185,1,10.198,1
C006,accepted,255,255,255,84,92,1,10.198,1
C007,accepted,255,255,255,167,22,1,10.8167,1
C008,accepted,255,255,255,40,105,1,9.48683,1
C009,accepted,255,255,255,68,186,1,8.60233,1
C010,accepted,255,255,255,180,55,1,10.8167,1
C011,accepted,255,255,255,160,41,1,10.7703,1
C012,accepted,255,255,255,66,79,1,9.48683,1
C013,accepted,255,255,255,193,23,1,10.2956,1
C014,accepted,255,255,255,148,54,1,8.94427,1
C015,accepted,255,255,255,215,120,1,9.21954,1
C016,accepted,255,255,255,166,47,1,9.84886,1
C017,accepted,255,255,255,210,94,1,8.94427,1
C018,accepted,255,255,255,69,173,1,9.84886,1
C019,accepted,255,255,255,155,63,1,10.2956,1
C020,accepted,255,255,255,188,226,1,10.7703,1
C021,accepted,255,255,255,125,47,1,9.48683,1
C022,accepted,255,255,255,56,190,1,9.48683,1
C023,accepted,255,255,255,16,161,1,9.84886,1
C024,accepted,255,255,255,172,239,1,9.48683,1
C025,accepted,255,255,255,204,10,1,11.4018,1
C026,accepted,255,255,255,102,101,1,8.94427,1
C027,accepted,255,255,255,213,86,1,10,1
C028,accepted,255,255,255,190,37,1,10.8167,1
C029,accepted,255,255,255,169,84,1,10,1
C030,accepted,255,255,255,214,150,1,8.60233,1
C031,accepted,255,255,255,108,72,1,9.21954,1
C032,accepted,255,255,255,203,31,1,10.2956,1
C033,accepted,255,255,255,71,76,1,9.43398,1
C034,accepted,255,255,255,71,10,1,9.48683,1
C035,accepted,255,255,255,84,177,1,8.94427,1
C036,accepted,255,255,255,205,49,1,10.4403,1
C037,accepted,255,255,255,201,39,1,10.2956,1
C038,accepted,255,255,255,53,99,1,9.43398,1
C039,accepted,255,255,255,95,114,1,9.48683,1
C040,accepted,255,255,255,162,62,1,10.8167,1
C041,accepted,255,255,255,87,34,1,10.4403,1
C042,accepted,255,255,255,251,86,1,9.48683,1
C043,accepted,255,255,255,263,116,1,10.4403,1
C044,accepted,255,255,255,77,69,1,9.21954,1
C045,accepted,255,255,255,221,52,1,10.6301,1
C046,accepted,255,255,255,106,113,1,10,1
C047,accepted,255,255,255,236,57,1,11.4018,1
C048,accepted,255,255,255,273,111,1,12.3693,1
C049,accepted,255,255,255,125,208,1,8.94427,1
C050,accepted,255,255,255,72,89,1,9.05539,1
C051,accepted,255,255,255,10,176,1,10.4403,1
C052,accepted,255,255,255,221,44,1,11.4018,1
C053,accepted,255,255,255,78,21,1,11.4018,1
C054,accepted,255,255,255,15,113,1,10.4403,1
C055,accepted,255,255,255,107,120,1,9.84886,1
C056,accepted,255,255,255,150,250,1,9.43398,1
C057,accepted,255,255,255,149,73,1,9.84886,1
C058,accepted,255,255,255,27,152,1,10.4403,1
C059,accepted,255,255,255,162,92,1,10.2956,1
C060,accepted,255,255,255,166,188,1,9.48683,1
C061,accepted,255,255,255,171,76,1,9.21954,1
C062,accepted,255,255,255,45,85,1,9.84886,1
C063,accepted,255,255,255,98,123,1,8.60233,1
C064,accepted,255,255,255,257,103,1,10.7703,1
C065,accepted,255,255,255,89,102,1,9.21954,1
C066,accepted,255,255,255,130,14,1,9.48683,1
C067,accepted,255,255,255,89,122,1,10.6301,1
C068,accepted,255,255,255,275,129,1,12.0416,1
C069,accepted,255,255,255,266,62,1,10.8167,1
C070,accepted,255,255,255,191,11,1,12.2066,1
C071,accepted,255,255,255,256,137,1,10.4403,1
C072,accepted,255,255,255,42,142,1,10.4403,1
C073,accepted,255,255,255,249,51,1,10.6301,1
C074,rejected,255,255,255,92,71,1,9.48683,1
C075,accepted,255,255,255,239,148,1,12.083,1
C076,accepted,255,255,255,51,83,1,10.2956,1
C077,accepted,255,255,255,135,32,1,11.7047,1
C078,accepted,255,255,255,208,165,1,10.198,1
C079,accepted,255,255,255,217,112,1,9.05539,1
C080,accepted,255,255,255,140,179,1,9.43398,1
C081,accepted,255,255,255,131,82,1,9.84886,1
C082,accepted,255,255,255,26,181,1,9.48683,1
C083,accepted,255,255,255,146,3,1,10.198,1
C084,accepted,255,255,255,41,169,1,9.48683,1
C085,accepted,255,255,255,158,212,1,9.48683,1
C086,accepted,255,255,255,223,17,1,9.48683,1
C087,accepted,255,255,255,184,162,1,10,1
C088,accepted,255,255,255,202,89,1,8.60233,1
C089,accepted,255,255,255,73,51,1,12.2066,1
C090,accepted,255,255,255,186,149,1,11.1803,1
C091,accepted,255,255,255,171,193,1,8.48528,1
C092,accepted,255,255,255,106,197,1,9.48683,1
C093,accepted,255,255,255,247,60,1,12.0416,1
C094,accepted,255,255,255,238,210,1,9.48683,1
C095,accepted,255,255,255,25,127,1,9.43398,1
C096,accepted,255,255,255,116,116,1,8.94427,1
C097,accepted,255,255,255,107,67,1,12.1655,1
C098,accepted,255,255,255,228,126,1,10.4403,1
C099,accepted,255,255,255,253,111,1,12.1655,1
C100,accepted,255,255,255,153,82,1,8.94427,1
C101,accepted,255,255,255,18,146,1,11.1803,1
C102,accepted,255,255,255,21,192,1,11.7047,1
C103,accepted,255,255,255,208,145,1,10.4403,1
C104,accepted,255,255,255,199,185,1,10.7703,1
C105,accepted,255,255,255,205,137,1,8.544,1
C106,accepted,255,255,255,230,153,1,10.4403,1
C107,accepted,255,255,255,182,182,1,11.4018,1
C108,accepted,255,255,255,140,48,1,10.6301,1
C109,accepted,255,255,255,182,78,1,9.84886,1
C110,accepted,255,255,255,214,183,1,9.21954,1
C111,accepted,255,255,255,222,168,1,10.7703,1
C112,accepted,255,255,255,110,85,1,12.3693,1
C113,accepted,255,255,255,60,218,1,12.8062,1
C114,accepted,255,255,255,206,107,1,11.1803,1
C115,accepted,255,255,255,103,239,1,8.60233,1
C116,rejected,255,255,255,14,216,1,10.8167,1
C117,accepted,255,255,255,118,167,1,8.06226,1
C118,rejected,255,255,255,112,183,1,10.2956,1
C119,rejected,255,255,255,117,221,1,15,1
C120,accepted,255,255,255,222,199,1,10.2956,1
C121,rejected,255,255,255,269,248,1,19.9249,1
C122,accepted,255,255,255,118,128,1,8.544,1
C123,rejected,255,255,255,213,248,1,11.4018,1
C124,rejected,255,255,255,214,218,2,11.7047,1
C125,accepted,255,255,255,82,116,1,10,1
C126,rejected,255,255,255,85,198,1,12.0416,1
C127,rejected,255,255,255,257,162,2,11.1803,1
C128,accepted,255,255,255,187,197,1,9.84886,1
C129,rejected,255,255,255,145,158,2,7.61577,1
C130,rejected,255,255,255,232,114,2,12.6491,1
C131,accepted,255,255,255,228,60,1,9.48683,1
C132,accepted,255,255,255,189,238,1,9.43398,1
C133,rejected,255,255,255,209,26,1,12.53,1
C134,accepted,255,255,255,150,215,2,7.2111,1
C135,rejected,255,255,255,252,240,1,13.9284,1
C136,accepted,255,255,255,75,105,2,8.94427,1
C137,accepted,255,255,255,96,213,1,10.8167,1
C138,accepted,255,255,255,187,255,1,13.3417,1
C139,rejected,255,255,255,263,215,1,15.2315,1
C140,rejected,255,255,255,219,166,4,24.6982,1
C141,rejected,255,255,255,166,69,6,4.47214,1
C142,accepted,255,255,255,166,101,1,9.21954,1
C143,accepted,255,255,255,223,4,1,9.43398,1
C144,accepted,255,255,255,131,262,1,9.48683,1
C145,rejected,255,255,255,41,63,3,7.2111,1
C146,accepted,255,255,255,171,212,1,9.84886,1
C147,accepted,255,255,255,236,186,1,12.083,1
C148,accepted,255,255,255,278,144,1,9.48683,1
C149,accepted,255,255,255,99,33,1,9.84886,1
