Name,SNR,EventRate(Hz)
C000,5.55774,0.0463365
C001,6.843,0.0910182
C002,6.71443,0.0719871
C003,5.17823,0.0107567
C004,7.36869,0.0852261
C005,6.42845,0.0951554
C006,5.98725,0.0678499
C007,8.0659,0.0488188
C008,9.20933,0.0686773
C009,7.3932,0.0860535
C010,11.111,0.0777792
C011,7.65883,0.0595755
C012,8.58912,0.0670225
C013,11.2018,0.0521286
C014,10.9656,0.079434
C015,8.51888,0.106739
C016,8.21198,0.0777792
C017,9.2235,0.0769517
C018,6.5512,0.0570932
C019,8.44716,0.0769517
C020,5.79849,0.079434
C021,8.09311,0.047164
C022,6.98524,0.0645401
C023,8.12748,0.0984651
C024,7.62902,0.124116
C025,9.47104,0.0322701
C026,6.88991,0.0810889
C027,8.85657,0.0496463
C028,8.14023,0.0968102
C029,22.0085,0.0546109
C030,8.31586,0.0744694
C031,31.1424,0.039717
C032,11.3503,0.0612304
C033,15.2924,0.0496463
C034,10.8612,0.0463365
C035,6.23491,0.0521286
C036,10.3013,0.0703322
C037,10.4906,0.0645401
C038,8.21443,0.060403
C039,6.90139,0.0595755
C040,14.1059,0.0695048
C041,7.10674,0.0562658
C042,9.1591,0.0587481
C043,7.62587,0.0951554
C044,69.1726,0.0256506
C045,10.4998,0.0695048
C046,6.31378,0.0860535
C047,14.0127,0.0752968
C048,7.6489,0.073642
C049,10.162,0.0943279
C050,17.678,0.0910182
C051,8.54922,0.119978
C052,10.406,0.0686773
C053,15.789,0.0380621
C054,5.97853,0.039717
C055,6.42565,0.0761243
C056,10.0529,0.0802615
C057,7.9838,0.0843987
C058,10.2102,0.147284
C059,5.5272,0.0810889
C060,7.24026,0.0976377
C061,8.65122,0.105912
C062,9.48985,0.0877084
C063,7.97108,0.0910182
C064,7.34876,0.0446816
C065,5.50002,0.0546109
C066,30.1651,0.0430268
C067,7.77976,0.0455091
C068,8.47806,0.120806
C069,9.87632,0.0711597
C070,12.4486,0.052956
C071,10.8938,0.140664
C072,8.23687,0.109222
C073,12.1801,0.0537835
C074,7.02521,0.0992925
C075,8.91981,0.16466
C076,8.94452,0.0786066
C077,7.85959,0.066195
C078,8.97901,0.146456
C079,10.0525,0.115014
C080,6.15796,0.0810889
C081,6.66144,0.114186
C082,8.99019,0.107567
C083,20.2864,0.0330975
C084,5.70283,0.0843987
C085,7.37494,0.0670225
C086,9.79294,0.033925
C087,6.61917,0.0877084
C088,7.57434,0.0645401
C089,7.64061,0.114186
C090,7.02083,0.115014
C091,7.27515,0.143147
C092,5.80906,0.0901907
C093,7.57334,0.0463365
C094,6.79453,0.10343
C095,7.33393,0.0893633
C096,6.49839,0.0943279
C097,8.83667,0.047164
C098,5.47635,0.0438542
C099,6.70739,0.0306152
C100,5.75865,0.0711597
C101,7.02721,0.0719871
C102,8.13543,0.0951554
C103,6.40498,0.0504737
C104,4.5524,0.0388896
C105,6.40805,0.0761243
C106,6.50922,0.0612304
C107,6.39337,0.112532
C108,8.11144,0.0554383
C109,7.19509,0.0537835
C110,8.01277,0.060403
C111,6.6417,0.0637127
C112,5.4798,0.0570932
C113,6.10617,0.0885358
C114,6.38442,0.0645401
C115,6.41152,0.0885358
C116,6.85467,0.0959828
C117,5.91732,0.0695048
C118,6.16091,0.105085
C119,5.93095,0.0835712
C120,7.81295,0.100947
C121,7.03736,0.111704
C122,6.58476,0.0786066
C123,8.75622,0.0918456
C124,6.1557,0.0802615
C125,7.21138,0.0587481
C126,5.53085,0.0686773
C127,6.40169,0.0951554
C128,5.93363,0.0562658
C129,7.01338,0.120806
C130,5.60444,0.047164
C131,6.37842,0.0248231
C132,6.50551,0.0570932
C133,4.05656,0.0587481
C134,4.56519,0.0835712
C135,6.5428,0.0885358
C136,5.55019,0.0446816
C137,4.96219,0.0388896
C138,5.98065,0.0620578
C139,5.64772,0.0107567
C140,5.37249,0.0835712
C141,4.74582,0.0124116
C142,7.93121,0.0645401
C143,8.00416,0.0281329
C144,6.09265,0.0579206
C145,5.83885,0.0455091
C146,5.21363,0.0504737
C147,5.66478,0.026478
C148,5.13624,0.0380621
C149,5.60956,0.0281329
C150,3.22428,0.0239957
C151,3.85017,0.0521286
C152,7.66561,0.0719871
C153,4.51367,0.0421993
C154,2.63255,0.00744694
C155,5.1394,0.0670225
C156,3.35889,0.00496463
C157,3.23966,0.00579207
C158,4.85855,0.0297878
C159,4.70834,0.00165488
