Time (s), Cell Name, Value
3.15, C000, 37.4681
14.85, C000, 1444.663
28.25, C000, 27.59224
34.9, C000, 78.71619
36.8, C000, 28.62549
56.55, C000, 27.43203
71.75, C000, 57.15984
75.40000000000001, C000, 62.28736
76.09999999999999, C000, 44.40043
84.05, C000, 29.57241
86.34999999999999, C000, 29.39641
90.90000000000001, C000, 70.66245
92, C000, 32.62464
101, C000, 35.30817
110.55, C000, 38.35884
123.15, C000, 47.623
133.949999, C000, 38.92467
144.1, C000, 27.78351
144.9, C000, 42.78831
148.5, C000, 28.83935
156.4, C000, 35.40672
163.25, C000, 26.99745
163.65, C000, 38.67236
166.75, C000, 43.98443
174.95, C000, 53.52775
177.7, C000, 31.82411
181.75, C000, 32.22164
182.5, C000, 28.81859
184.25, C000, 40.29961
187.9, C000, 79.47698
190.15, C000, 41.40058
195.25, C000, 81.62911
201.2, C000, 70.96129
228.5, C000, 29.9254
239.25, C000, 47.41273
242.8, C000, 40.34026
243.75, C000, 35.03685
245.9, C000, 33.56657
246.8, C000, 31.71507
249.75, C000, 36.71021
250.5, C000, 43.0934
251.5, C000, 39.13168
253.05, C000, 29.58194
257.45, C000, 40.67962
263.55, C000, 27.43819
274.25, C000, 36.60639
299.6, C000, 27.87554
363.75, C000, 31.12546
391.75, C000, 41.24918
394.95, C000, 50.03863
601.2, C000, 37.55595
605.55, C000, 116.9023
617.1, C000, 42.52733
641.95, C000, 43.43423
649.7, C000, 26.95253
850.95, C000, 31.10595
1021.6, C000, 134.3225
1033.2, C000, 29.70508
1053.7, C000, 84.24389
1054.099999, C000, 27.53784
1055.15, C000, 41.06519
1063.15, C000, 75.89594
1075, C000, 60.06362
1079.1, C000, 34.64156
1080.3, C000, 38.76437
1094.25, C000, 33.43924
1121.5, C000, 31.70877
1158.9, C000, 46.19997
1172.7, C000, 27.17022
1178.75, C000, 32.72043
7.3, C001, 27.89978
8.050000000000001, C001, 31.24006
18.7, C001, 331.0809
33.45, C001, 22.36196
39.45, C001, 18.09283
49.3, C001, 27.68658
68.40000000000001, C001, 45.72758
79.25, C001, 43.94745
84.7, C001, 21.27882
87.90000000000001, C001, 27.04719
88.34999999999999, C001, 38.30235
92.05, C001, 93.92757
96.65000000000001, C001, 28.57804
99, C001, 54.66502
111.65, C001, 27.0632
122.05, C001, 20.93365
124.9, C001, 415.8363
126.55, C001, 22.44875
148.2, C001, 60.17101
151.15, C001, 55.47443
151.65, C001, 30.90293
157.9, C001, 32.15094
166.8, C001, 48.35957
169.5, C001, 19.88715
183.2, C001, 40.35725
185.15, C001, 24.65081
189.75, C001, 644.8204
195.2, C001, 19.78123
201.2, C001, 80.48625
229, C001, 23.79238
231.1, C001, 27.81289
232, C001, 35.90351
238.05, C001, 23.60229
243.75, C001, 43.71862
257.35, C001, 44.06113
258.25, C001, 31.89165
260.95, C001, 18.9298
264.6, C001, 39.89921
276.35, C001, 18.43022
277.1, C001, 44.62382
282.75, C001, 26.69812
286.3, C001, 24.51694
295.15, C001, 17.92021
296.15, C001, 42.42847
299.55, C001, 30.67019
299.7, C001, 34.4377
319, C001, 42.81135
367.4, C001, 557.4225
383.6, C001, 51.97528
394.05, C001, 45.88887
397.15, C001, 63.47572
549.7, C001, 24.04862
553.95, C001, 18.03283
591.85, C001, 74.42063
611.95, C001, 30.07104
617, C001, 34.67447
620.1, C001, 19.96612
622.4, C001, 56.70785
640.85, C001, 24.50282
657.9, C001, 32.1442
677.75, C001, 25.49012
802.1, C001, 30.06826
1019.7, C001, 22.78126
1036, C001, 28.21561
1036.5, C001, 22.65182
1050.4, C001, 37.92332
1053.75, C001, 52.87093
1056.55, C001, 39.77196
1056.95, C001, 26.26747
1066.8, C001, 29.01743
1071.25, C001, 57.52085
1079.9, C001, 18.66047
1081.1, C001, 24.99844
1085.85, C001, 45.8781
1089.6, C001, 33.00154
1101.55, C001, 24.50134
1101.9, C001, 21.83981
1102.25, C001, 18.72035
1102.45, C001, 74.55238
1108.85, C001, 51.96801
1109.2, C001, 31.84361
1112.45, C001, 397.933
1126, C001, 19.94923
1129.5, C001, 29.2335
1131.35, C001, 71.06522
1133.75, C001, 35.58595
1135.6, C001, 52.88638
1138.4, C001, 26.83931
1157.8, C001, 31.5735
1162.75, C001, 100.7028
1174.25, C001, 19.2234
1176.9, C001, 24.96143
1185.5, C001, 28.83142
1186.2, C001, 65.12907
1202, C001, 61.1158
1204.1, C001, 43.25016
18.5, C002, 615.366
23.2, C002, 48.85621
35.1, C002, 52.83658
76.09999999999999, C002, 29.06752
85.15000000000001, C002, 58.29431
92.09999999999999, C002, 81.23396
93.45, C002, 44.97976
99.95, C002, 23.04036
101.85, C002, 75.84657
118.1, C002, 40.35023
119.3, C002, 39.21134
122.7, C002, 37.96917
128.449999, C002, 35.27493
132.5, C002, 25.85291
140.25, C002, 57.85851
143.3, C002, 63.68102
144.85, C002, 28.72696
145.3, C002, 31.05083
148.4, C002, 493.0352
153.9, C002, 31.52043
155, C002, 33.10075
